unique_id,ds,Naive,SeasonalNaive,AutoETS,AutoARIMA,XGBoost,LightGBM,NBEATS,NHITS,chronos
hotel_0,2023-07-01,0.8271604938271605,0.9506172839506173,0.8542002171862775,0.8894995990534879,0.9309116,0.9099900937147083,0.9314319,0.90476376,0.796875
hotel_0,2023-07-02,0.8271604938271605,0.5061728395061729,0.6258887772485338,0.6525592801429422,0.69220597,0.6850106642053153,0.55031186,0.5031136,0.671875
hotel_0,2023-07-03,0.8271604938271605,0.5802469135802469,0.6466666000710888,0.6464262955626798,0.65312153,0.5838917330338137,0.6005344,0.5900189,0.640625
hotel_0,2023-07-04,0.8271604938271605,0.691358024691358,0.6839896656640166,0.7191560445500734,0.72833276,0.6234910630667264,0.6824086,0.6987181,0.68359375
hotel_0,2023-07-05,0.8271604938271605,0.654320987654321,0.6812325870362248,0.7016716496331491,0.7368662,0.6720999354345081,0.7022723,0.7349779,0.7421875
hotel_0,2023-07-06,0.8271604938271605,0.7160493827160493,0.7182355754828911,0.7304071227372064,0.7703515,0.7082991241072457,0.67789745,0.7120067,0.796875
hotel_0,2023-07-07,0.8271604938271605,0.8271604938271605,0.8220192023642633,0.7759894710696807,0.81663066,0.7860085158187347,0.81892794,0.82097256,0.84375
hotel_0,2023-07-08,0.8271604938271605,0.9506172839506173,0.8542002171862775,0.8238722128073007,0.8844423,0.8819395317644437,0.9124019,0.8949863,0.86328125
hotel_0,2023-07-09,0.8271604938271605,0.5061728395061729,0.6258887772485338,0.6538732154285476,0.5927089,0.5913738364787989,0.53653634,0.508745,0.765625
hotel_0,2023-07-10,0.8271604938271605,0.5802469135802469,0.6466666000710888,0.666945845697229,0.66417634,0.6362264018669528,0.6120734,0.60733205,0.7578125
hotel_0,2023-07-11,0.8271604938271605,0.691358024691358,0.6839896656640166,0.7136211342470848,0.7252996,0.6755773077689703,0.7103261,0.71779954,0.80078125
hotel_0,2023-07-12,0.8271604938271605,0.654320987654321,0.6812325870362248,0.7001372858194339,0.78370583,0.7224403882049746,0.7210398,0.72229815,0.82421875
hotel_0,2023-07-13,0.8271604938271605,0.7160493827160493,0.7182355754828911,0.7222699280857443,0.817953,0.7808270761368576,0.6839409,0.70026183,0.83203125
hotel_0,2023-07-14,0.8271604938271605,0.8271604938271605,0.8220192023642633,0.7601621404026678,0.86177206,0.8370992722397651,0.80610967,0.80909497,0.84765625
hotel_0,2023-07-15,0.8271604938271605,0.9506172839506173,0.8542002171862775,0.7887313318411449,0.9245631,0.9296997867711695,0.90368813,0.8828296,0.83203125
hotel_0,2023-07-16,0.8271604938271605,0.5061728395061729,0.6258887772485338,0.6839832894658016,0.63037246,0.7038980761844714,0.5237075,0.49116313,0.68359375
hotel_0,2023-07-17,0.8271604938271605,0.5802469135802469,0.6466666000710888,0.686991010373236,0.7135047,0.6911775506779946,0.64185673,0.5857778,0.64453125
hotel_0,2023-07-18,0.8271604938271605,0.691358024691358,0.6839896656640166,0.7173302995570762,0.7817543,0.7399171573731927,0.7604245,0.7193378,0.67578125
hotel_0,2023-07-19,0.8271604938271605,0.654320987654321,0.6812325870362248,0.7092908499467994,0.8170622,0.7700905059631927,0.7495384,0.724983,0.71875
hotel_0,2023-07-20,0.8271604938271605,0.7160493827160493,0.7182355754828911,0.7224877560458105,0.81770915,0.7718644155212218,0.7004028,0.70434123,0.765625
hotel_0,2023-07-21,0.8271604938271605,0.8271604938271605,0.8220192023642633,0.7443358004916296,0.8529883,0.8253054436471259,0.8492303,0.8214321,0.8046875
hotel_0,2023-07-22,0.8271604938271605,0.9506172839506173,0.8542002171862775,0.7636046528836785,0.91420823,0.8914369865255282,0.9180851,0.9022464,0.8125
hotel_0,2023-07-23,0.8271604938271605,0.5061728395061729,0.6258887772485338,0.6941036845451936,0.6459453,0.6539841288735753,0.5827219,0.53057027,0.703125
hotel_0,2023-07-24,0.8271604938271605,0.5802469135802469,0.6466666000710888,0.6977937145414845,0.74943006,0.7129237160781197,0.6052944,0.610279,0.67578125
hotel_0,2023-07-25,0.8271604938271605,0.691358024691358,0.6839896656640166,0.7173934246500844,0.7825119,0.793597502664558,0.75519013,0.7128089,0.6953125
hotel_0,2023-07-26,0.8271604938271605,0.654320987654321,0.6812325870362248,0.7119688584980944,0.8033778,0.8089975600690191,0.7215091,0.7369113,0.72265625
hotel_0,2023-07-27,0.8271604938271605,0.7160493827160493,0.7182355754828911,0.720872887779435,0.7997683,0.7711886028630816,0.70961285,0.70660746,0.7578125
hotel_0,2023-07-28,0.8271604938271605,0.8271604938271605,0.8220192023642633,0.7358726980163879,0.8992748,0.8565397771572825,0.8326089,0.81416166,0.796875
hotel_105,2023-07-01,1.0,0.9874213836477987,1.0476449387846933,0.9858242225962766,0.99065274,0.9979395241727791,1.0053333,1.0026443,0.99609375
hotel_105,2023-07-02,1.0,0.9937106918238994,0.9616544656744862,0.9937180425997397,1.0014306,1.0007367678505363,1.0037271,1.0024906,0.98828125
hotel_105,2023-07-03,1.0,1.0188679245283019,1.0073316004594441,1.0068732332877202,0.9317614,0.9994090215971917,1.010468,1.006712,0.98828125
hotel_105,2023-07-04,1.0,1.0314465408805031,1.0373367269875087,1.0099754377931087,0.9316707,0.9792379648252444,1.0173451,1.0093958,1.0
hotel_105,2023-07-05,1.0,1.0440251572327044,1.039713682926658,1.013415186349758,0.9557341,0.967920563920392,1.0240388,1.0133437,1.015625
hotel_105,2023-07-06,1.0,1.0062893081761006,0.9883744022494184,1.011108367066726,0.86802405,0.9726495178562271,1.0103076,1.0113112,1.015625
