unique_id,Naive,SeasonalNaive,AutoETS,AutoARIMA,XGBoost,LightGBM,NBEATS,NHITS,chronos
hotel_0,-0.08201058201058199,-0.029805996472663132,0.0073840463803174815,-0.052846699823221224,-0.04476015121007515,-0.05152717384456066,-0.11085305746375361,-0.04977194858711655,-0.057850391313933006
hotel_105,-0.05318957771787962,0.0738544474393531,0.06242746666528178,0.0609425398616936,0.053059923927310564,0.045387022131026515,0.04241632804448607,0.06571930419295519,0.024940862252920044
hotel_112,0.06464285714285714,0.01642857142857144,0.0366965336304817,0.0158558243206546,0.03876810227121626,0.03561621918425182,-0.02038233382361275,-0.0382827615737915,-0.02096540178571428
hotel_126,-0.0095617529880478,0.000455321570859423,0.03734164693475655,0.003115489345428144,0.0475178548776771,0.035807502581209266,0.0017845316101491133,0.006602964281832289,-0.0005913844621513889
hotel_133,-0.014519906323185009,0.01779859484777517,0.0300771995937073,0.03819603408564117,0.017052461587293916,0.02096101398719996,0.0055018797063157415,0.003013002188479307,0.020810158079625288
hotel_14,-0.050269541778975746,0.0012129380053908317,-0.0032942822775377956,-0.011077309805337787,-0.04248003905834856,-0.04600834810856835,0.008649465341291662,0.004290396939069438,-0.009388687668463609
hotel_21,-0.017691798941798936,0.01590608465608466,-0.008787268385847662,0.009930523343339187,0.02898663083712259,0.02892495662833399,-0.0004923150652930903,-0.0025122896546409296,-0.00643601190476191
hotel_28,0.00880952380952381,0.00880952380952381,0.00248753333056039,0.009464647675001743,-0.02820638862323557,0.004754371686911058,0.011203085782860096,0.009874446338730022,0.012940513974144346
hotel_35,0.13916015625,0.08162667410714286,0.10762423083841928,0.1699547086869798,-0.007885666830199105,-0.0227413275933293,0.026863364236695424,0.035856397875717705,0.14973493303571428
hotel_42,0.11200115673799882,0.05786581839213418,0.1377182447427834,0.04328208342845108,-0.010074585860626352,-0.027164396799100717,-0.06857195983324664,-0.009769719172034258,-0.01068429411871024
hotel_49,-0.08197130380536496,-0.04641297567061759,-0.0353983426659382,-0.05532913042666074,-0.07327309305490884,-0.06725514731184219,-0.06299531684766616,-0.06486599329703313,-0.06202652253587023
hotel_56,-0.017797619047619055,0.00363095238095238,0.01266627970148968,0.012868217162626566,0.014405065008572165,0.022665361710319326,-0.004517527052334383,0.001005989398275097,-0.022287946428571435
hotel_63,-0.10285714285714287,0.028063492063492068,0.012409439023711548,-0.000505878484490767,-0.017425932720540063,-0.004850097022891443,0.0816700959990895,-0.019909579292176263,-0.00878298611111111
hotel_7,-0.15774778966961378,-0.04416007445323407,-0.04591221250189722,-0.0075776307116906146,-0.08402059267653372,-0.10406812523034037,-0.006111519655803015,-0.017431067973167298,-0.014583772612261514
hotel_70,0.014473684210526331,0.052944862155388475,0.0864578175101088,0.03846842831581909,0.03537630334982,0.004619577347907866,0.03730016246923528,0.011520046554039,0.04546583744517544
hotel_77,-0.0014812955059000754,-2.5106703489831828e-05,-0.0027601733534228846,-0.0018049724344968744,-0.008313204250760334,-0.004425210889451027,0.001492661271609521,-8.836386196512644e-05,0.001320315137918631
hotel_84,-0.04819574888779043,0.031389026198714774,0.06113609173793251,0.046595823851283316,0.03655018687866963,0.029899876385637306,0.0597959787566887,-0.049696001744894955,-0.004581395977508651
hotel_91,-0.01476725521669344,0.027929373996789724,-0.002729253473557219,0.030726696069644382,0.027446707489976525,0.03312149253635468,0.018063302809315732,-0.022838176528580886,0.01511806530898876
hotel_98,-0.0630184331797235,0.008640552995391704,0.017762561348150612,0.022918685309188547,-0.018684106908978957,-0.029922512810401265,0.043816352312877976,0.04071580799219245,0.06090948570708526
